Category,Předmět,Cena,Dostupnost,Váha,Čas,Talent,Nářadí,Trvanlivost,Zdroj,Poznámky,Talent/nářadí,"Effekt (Opravy lepších předmětů jsou náročnější
Suroviny,Železná ruda,"0,4",,,,–,Důl,–,–,,,
Suroviny,Železo,1,,,,Kovář,Kovárna,–,železná ruda,"Železo se dá vyprodukovat i bez kovárny, ale jen tempem 1 jednotky za čtvrtden. Vyžaduje jednotku železné rudy a hod na Řemesla.",,
Suroviny,Stříbro,10,,,,–,–,–,–,,,
Suroviny,Zlato,100,,,,–,–,–,–,,,
Suroviny,Kámen,"0,2",,,,–,Lom,–,–,,,
Suroviny,Sklo,8,,,,Kovář,Kovárna,–,kámen,Za jeden čtvrtden je možné vytvořit jednu jednotku skla. Vyžaduje obtížný hod (úprava –2) na Řemesla.,,
Suroviny,Dřevo,"0,3",,,,–,Sekera,–,–,"Jeden čtvrtden práce v lese nebo temném hvozdu, spolu s úspěšným hodem na Řemesla, vytvoří tolik jednotek dřeva, kolik ti padne x, vynásobeno dvěma.",,
Suroviny,Useň,"1,2",,,,Koželuh,Koželužna,–,kožešina,,,
Suroviny,"Látka, vlněná","0,8",,,,Krejčí,Krejčovská dílna,–,vlna,,,
Suroviny,"*Látka, lněná","2,5",,,,Krejčí II.,Krejčovská dílna,–,5x Len,"Nahrazuje látku, -2 při výrobě (snižuje se s úrovní talentu), přidá +1 k předmětu",,
Suroviny,"*Látka, hedvábná",10,,,,Krejčí,Krejčovská dílna,–,V Zapovězených zemích se nevyrábí.,"Nahrazuje látku, -4 při výrobě (snižuje se s úrovní talentu), přidá +1 k předmětu, a bonus +1 k MANIPULACI, snižuje váhu o ½. Lze použít 2x surovin a přidat další +1 k předmětu.",,
Suroviny,Vlna,"0,4",,,,–,Ovčín,jeden měsíc,–,,,
Suroviny,Len,"0,3",,,,-,Pole,-,-,,,
Suroviny,Obilí,"0,3",,,,–,Pole,jeden měsíc,–,,,
Suroviny,Maso,"0,6",,,,–,"Pastvina, vepřín nebo ovčín",jeden den,–,,,
Suroviny,Kožešina,"0,8",,,,–,–,jeden týden,–,Víc o lovu se dočteš na straně 151.,,
Suroviny,Mouka,"0,6",,,,–,Mlýn,jeden měsíc,obilí,,,
Suroviny,Plodiny,"0,4",,,,–,Zahrada,jeden den,–,,,
Suroviny,Ryby,"0,5",,,,–,Síť nebo háček a vlasec. Víc o rybaření se dočteš na straně 153.,jeden den,–,,,
Suroviny,Chleba,1,,,,–,Pekárna,jeden týden,mouka,,,
Suroviny,Lůj,"0,6",,,,Koželuh,,–,–,Zabité nebo poražené zvíře poskytne tolik jednotek loje masa vydělený dvěma (zaokrouhleno nahoru).,,
Suroviny,Bylinky,2,,,,–,,jeden týden,–,,,
Suroviny,Mléko,"0,2",,,,–,Krava (Pastvina),jeden den,,,,
Suroviny,Sušené jídlo,"1,2",,,,Kuchař,Oheň,-,"1 Ryba/1 Maso, sůl",,,
Suroviny,Med,3,,,,,Úl (2 jednotky 3x ročně),-,"Pochodeň, Odolnost proti bolesti",,,
Suroviny,Vosk,2,,,,–,,-,Sklízí se spolu s Medem,slouží k přídání odolnosti k vodě,,
Suroviny,Sůl,"0,3",,,,,Důl na sůl/Solivar,-,–,,,
Suroviny,*Lepená tvrzená useň,3,Neobvyklá,Normální,1/čtvrtden,,,,"kožešina, lepidlo",,"Koželuh (úroveň 2), Koželužna","Nahrazuje useň, -2 při výrobě (snižuje se s úrovní talentu), přidá +1 k předmětu"
