Category,Předmět,Cena,Dostupnost,Poznámky
Služby,Koupel v hostinci,3 měďáky,běžné,
Služby,Ostříhání vlasů,5 měďáků,běžné,
Služby,Léčení,5,neobvyklé,Typický vesnický ranhojič má osobnost 4 a dovednost Léčení na 2. stupni.
Služby,Tělesný strážce,1  denně,neobvyklé,
Služby,Vyprání šatů,5 měďáků,běžné,
Služby,Posel,1  za hex,běžné,
Služby,Mýto,2 měďáky,běžné,
Služby,"Ubytování v hostinci, společná místnost",2 měďáky,běžné,
Služby,"Ubytování v hostinci, samostatný pokoj",5 měďáků,běžné,
Služby,Pěkné ubytování,2,neobvyklé,
Služby,Miska dušeného masa,3 měďáky,běžné,Pokryje denní potřebu jídla.
Služby,Vydatné jídlo,1,běžné,Pokryje denní potřebu jídla a vody.
Služby,Hostina,1 zlaťák,neobvyklé,Pokryje denní potřebu jídla a vody. Jednou za sezení doplní 1 bod vůle. Nutno zakončit odpočinkem.
Služby,Žejdlík piva,2 měďáky,běžné,Pokryje denní potřebu vody.
